Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,GO_CellCompID,GO_CellComp
STXB1_RAT,Stxbp1,P61765,21.1212,0.0351,0.1098,1.1954,,GO:0005856,cytoskeleton
ABCD3_RAT,Abcd3,P16970,23.8931,0.0352,0.1098,2.3767,,GO:0005777,Peroxisome
ATRN_RAT,Atrn,Q99J86,24.1672,0.0354,0.1099,1.6118,,GO:0005737,Cytosol
D4A2Q3_RAT,Psd3,D4A2Q3,24.9897,0.0361,0.1113,1.2552,,GO:0032587,Axon
T132A_RAT,Tmem132a,Q80WF4,25.0610,0.0361,0.1113,1.8349,,GO:0005794,Golgi
D3ZTW6_RAT,Ccser1,D3ZTW6,19.1053,0.0367,0.1121,1.2843,,GO:0003674,Axon
TFR1_RAT,Tfrc,Q99376,24.2467,0.0368,0.1121,1.9079,,GO:0005769,Endosome
A0A0U1RS25_RAT,Upf1,A0A0U1RS25,20.7722,0.0368,0.1121,1.2232,,GO:0005737,Cytosol
B2RZD6_RAT,Ndufa4,B2RZD6,20.4955,0.0374,0.1123,1.1812,,GO:0016021,Mitochondrion
PLPR4_RAT,Plppr4,Q7TMB7,23.1557,0.0378,0.1123,1.2620,,GO:0098978,Axon
RLA0_RAT,Rplp0,P19945,20.7995,0.0381,0.1123,1.1791,,GO:0005783,endoplasmic reticulum
TTC17_RAT,Ttc17,B5DEL3,20.5741,0.0381,0.1123,1.1820,,GO:0005856,cytoskeleton
NPTN_RAT,Nptn,P97546,23.5216,0.0382,0.1123,2.2403,,GO:0030424,Axon
PICAL_RAT,Picalm,O55012,22.9551,0.0383,0.1123,1.4769,,GO:0005794,Golgi
D4A517_RAT,Slc39a10,D4A517,24.9883,0.0383,0.1123,1.2304,,GO:0016020,membrane
Q5XIA6_RAT,Smpd1,Q5XIA6,20.7638,0.0384,0.1123,1.2871,,GO:0036019,Lysosome
PTPRS_RAT,Ptprs,Q64605,24.2934,0.0385,0.1123,1.2063,,GO:0005829,Cytosol
PTPRA_RAT,Ptpra,Q03348,24.5628,0.0386,0.1123,1.3188,,GO:0016020,membrane
CELR2_RAT,Celsr2,Q9QYP2,22.9808,0.0387,0.1123,1.3157,,GO:0005737,Cytosol
HYOU1_RAT,Hyou1,Q63617,28.0143,0.0387,0.1123,1.2125,,GO:0005783,endoplasmic reticulum
D4A1G8_RAT,Cep170b,D4A1G8,20.3206,0.0390,0.1123,1.1973,,GO:0005856,cytoskeleton
S39A6_RAT,Slc39a6,Q4V887,23.4105,0.0390,0.1123,1.9737,,GO:0005783,endoplasmic reticulum
DRS7B_RAT,Dhrs7b,Q5RJY4,20.9596,0.0393,0.1127,1.3681,,GO:0005777,Peroxisome
PCLO_RAT,Pclo,Q9JKS6,25.4519,0.0398,0.1136,1.2360,,GO:0005798,Golgi
DNJA2_RAT,Dnaja2,O35824,20.6099,0.0399,0.1136,1.1880,,GO:0005737,Cytosol
CAMKV_RAT,Camkv,Q63092,20.8619,0.0400,0.1136,1.1861,,GO:0031410,cytoplasmic vesicle
M0RAP5_RAT,Sbf1,M0RAP5,22.4744,0.0403,0.1137,1.2802,,GO:0005737,Cytosol
KCC2A_RAT,Camk2a,P11275,21.9305,0.0407,0.1137,1.2857,,GO:0005737,Cytosol
HCN3_RAT,Hcn3,Q9JKA8,22.2009,0.0408,0.1137,1.2157,,NA,NA
F1M4J1_RAT,LOC100294508,F1M4J1,22.3612,0.0408,0.1137,1.3181,,GO:0005794,Golgi
G3V824_RAT,Igf2r,G3V824,23.4818,0.0409,0.1137,1.2250,,GO:0005794,Golgi
D3ZHG3_RAT,Ptk7,D3ZHG3,24.0868,0.0409,0.1137,1.2522,,GO:0016020,membrane
CLAP2_RAT,Clasp2,Q99JD4,24.0613,0.0412,0.1141,1.2073,,GO:0005794,Golgi
PSD1_RAT,Psd,Q9ESQ7,22.0184,0.0416,0.1143,1.1718,,GO:0005737,Cytosol
SFXN5_RAT,Sfxn5,Q8CFD0,22.3277,0.0419,0.1143,1.3541,,GO:0016021,Mitochondrion
CAPR1_RAT,Caprin1,Q5M9G3,22.4351,0.0420,0.1143,1.1823,,GO:0005737,Cytosol
MARK2_RAT,Mark2,O08679,22.2819,0.0421,0.1143,1.3266,,GO:0005884,Mitochondrion
BSN_RAT,Bsn,O88778,25.2771,0.0421,0.1143,1.1639,,GO:0005798,Golgi
Q4V8H7_RAT,Wwp1,Q4V8H7,22.0015,0.0423,0.1143,1.1457,,GO:0005737,Cytosol
ROA3_RAT,Hnrnpa3,Q6URK4,22.4789,0.0426,0.1146,1.1849,,GO:0005737,Cytosol
M2OM_RAT,Slc25a11,P97700,25.8872,0.0429,0.1149,1.3070,,GO:0016021,Mitochondrion
A0A0G2JZB7_RAT,Nav3,A0A0G2JZB7,19.9449,0.0431,0.1149,2.0730,,GO:0005634,Nucleus
NUP54_RAT,Nup54,P70582,21.1499,0.0434,0.1149,1.1759,,GO:0005634,Nucleus
D3ZT20_RAT,Fbxo41,D3ZT20,24.3661,0.0434,0.1149,1.3673,,NA,NA
AGAP2_RAT,Agap2,Q8CGU4,22.5934,0.0437,0.1153,1.3066,,GO:0005768,Endosome
D3ZYR4_RAT,Sema4d,D3ZYR4,23.1111,0.0439,0.1153,1.2352,,NA,NA
M0R7B4_RAT,Hist1h1d,M0R7B4,20.0451,0.0441,0.1155,1.1382,,GO:0005634,Nucleus
PLXA3_RAT,Plxna3,D3ZPX4,24.4141,0.0450,0.1165,1.1329,,GO:0007411,Axon
DCLK2_RAT,Dclk2,Q5MPA9,23.2185,0.0450,0.1165,1.2462,,GO:0005856,cytoskeleton
D4AE63_RAT,Myorg,D4AE63,23.2598,0.0450,0.1165,1.2014,,GO:0005783,endoplasmic reticulum
A0A0G2JXD0_RAT,LOC103692829,A0A0G2JXD0,21.0794,0.0451,0.1165,1.2491,,NA,NA
A0A0G2K5E4_RAT,Dnaja3,A0A0G2K5E4,21.5183,0.0458,0.1169,1.5573,,GO:0005884,Mitochondrion
CLH1_RAT,Cltc,P11442,20.9560,0.0458,0.1169,1.1791,,GO:0005764,Lysosome
HCN2_RAT,Hcn2,Q9JKA9,19.7550,0.0459,0.1169,1.5782,,GO:0005737,Cytosol
D3ZTG3_RAT,Fam171b,D3ZTG3,22.1937,0.0461,0.1169,1.3022,,GO:0016020,membrane
S1PR1_RAT,S1pr1,P48303,21.2889,0.0462,0.1169,1.1821,,GO:0005768,Endosome
D3ZC56_RAT,Dst,D3ZC56,21.0715,0.0463,0.1169,1.1663,,GO:0005856,cytoskeleton
GBRA2_RAT,Gabra2,P23576,24.0743,0.0463,0.1169,1.3265,,GO:0031410,Axon
SYFA_RAT,Farsa,Q505J8,21.1444,0.0464,0.1169,1.1410,,GO:0005737,Cytosol
LONP2_RAT,Lonp2,Q3MIB4,20.4156,0.0468,0.1172,1.2340,,GO:0005777,Peroxisome
ACTB_RAT,Actb,P60711,26.9911,0.0469,0.1172,1.3521,,GO:0015629,Mitochondrion
ITB1_RAT,Itgb1,P49134,24.6170,0.0471,0.1172,1.3369,,GO:0005768,Endosome
F1LZB7_RAT,Frmd4b,F1LZB7,21.7030,0.0471,0.1172,1.1113,,GO:0005856,cytoskeleton
NDUA9_RAT,Ndufa9,Q5BK63,22.6275,0.0481,0.1192,1.1132,,GO:0009060,Mitochondrion
S22AN_RAT,Slc22a23,Q9QZG1,21.2142,0.0482,0.1192,1.1689,,GO:0016020,membrane
RL17_RAT,Rpl17,P24049,21.8090,0.0486,0.1195,1.2991,,GO:0005737,Cytosol
TECR_RAT,Tecr,Q64232,24.0300,0.0487,0.1195,2.6860,,GO:0005783,endoplasmic reticulum
QCR2_RAT,Uqcrc2,P32551,22.5847,0.0488,0.1195,1.5820,,GO:0045333,Mitochondrion
Q3L472_RAT,Sulf2,Q3L472,21.2638,0.0495,0.1208,1.2569,,GO:0005794,Golgi
F1LS01_RAT,Pcdh9,F1LS01,25.0229,0.0498,0.1208,1.1054,,GO:0005887,membrane
PERI_RAT,Prph,P21807,21.5258,0.0499,0.1208,1.2530,,GO:0005856,cytoskeleton
H14_RAT,H1-4,P15865,20.7089,0.0499,0.1208,1.1387,,GO:0005634,Nucleus
SERPH_RAT,Serpinh1,P29457,24.6929,0.0503,0.1212,1.6465,,GO:0005783,endoplasmic reticulum
DNJA1_RAT,Dnaja1,P63036,20.9352,0.0508,0.1222,1.2429,,GO:0005783,endoplasmic reticulum
ECHB_RAT,Hadhb,Q60587,24.5841,0.0512,0.1226,1.6111,,GO:0071222,Mitochondrion
DJC10_RAT,Dnajc10,Q498R3,21.9084,0.0514,0.1226,1.1248,,GO:0005783,endoplasmic reticulum
A0A0G2K6F2_RAT,Csmd2,A0A0G2K6F2,22.5064,0.0515,0.1226,1.1130,,NA,NA
CA2D3_RAT,Cacna2d3,Q8CFG5,21.8278,0.0518,0.1226,1.8368,,GO:0016020,membrane
D4A062_RAT,Slitrk3,D4A062,20.6595,0.0518,0.1226,1.2200,,GO:0051932,Axon
NOE1_RAT,Olfm1,Q62609,22.6365,0.0523,0.1235,1.1792,,GO:0005783,endoplasmic reticulum
DCLK1_RAT,Dclk1,O08875,25.1886,0.0526,0.1235,1.1738,,NA,NA
RL40_RAT,Uba52,P62986,23.1460,0.0527,0.1235,1.4265,,GO:0005783,endoplasmic reticulum
G3V6U3_RAT,Alg2,G3V6U3,23.4501,0.0531,0.1235,1.1002,,GO:0005768,Endosome
RS11_RAT,Rps11,P62282,22.9252,0.0531,0.1235,1.2254,,GO:0005737,Cytosol
PBIP1_RAT,Pbxip1,A2VD12,25.2415,0.0531,0.1235,1.0757,,GO:0005856,cytoskeleton
KIF2A_RAT,Kif2a,Q9WV63,25.7769,0.0537,0.1239,1.2945,,GO:0005764,Lysosome
F1M6P8_RAT,Edil3,F1M6P8,24.3149,0.0539,0.1239,1.2490,,GO:0005576,extracellular region
CNTN5_RAT,Cntn5,P97527,22.3624,0.0539,0.1239,1.3322,,NA,NA
TXTP_RAT,Slc25a1,P32089,24.8734,0.0539,0.1239,1.1803,,GO:0016021,Mitochondrion
SHPS1_RAT,Sirpa,P97710,25.6629,0.0544,0.1246,1.1720,,GO:0006928,Axon
D4A3L3_RAT,Megf9,D4A3L3,22.9350,0.0547,0.1249,1.1945,,GO:0016020,membrane
ATAD3_RAT,Atad3,Q3KRE0,24.6843,0.0552,0.1253,1.3595,,GO:0016021,Mitochondrion
A0A0G2K6T9_RAT,Pcdh1,A0A0G2K6T9,22.0217,0.0552,0.1253,1.1482,,GO:0005654,Nucleus
F1LYJ8_RAT,Gramd4,F1LYJ8,20.9242,0.0555,0.1256,1.0817,,GO:0005783,Mitochondrion
GBRB3_RAT,Gabrb3,P63079,23.9773,0.0559,0.1262,1.5615,,GO:0016021,Axon
A0A0G2K490_RAT,Tnik,A0A0G2K490,20.0249,0.0563,0.1266,1.1020,,GO:0005768,Endosome
H2AJ_RAT,H2aj,A9UMV8,21.4659,0.0564,0.1266,1.0584,,GO:0005634,Nucleus
Q498C9_RAT,Zfp207,Q498C9,20.6867,0.0567,0.1266,1.1511,,GO:0005856,cytoskeleton
A0A0G2JZA1_RAT,Robo2,A0A0G2JZA1,22.6805,0.0567,0.1266,1.1347,,NA,NA
VIME_RAT,Vim,P31000,26.6474,0.0571,0.1267,1.4552,,GO:0014002,Mitochondrion
EDNRB_RAT,Ednrb,P21451,22.3237,0.0572,0.1267,1.1629,,GO:0097018,Axon
D4A2I9_RAT,Sorcs3,D4A2I9,21.0926,0.0572,0.1267,1.1258,,GO:0016020,Axon
F1LPV0_RAT,Nars,F1LPV0,20.5301,0.0577,0.1275,1.1665,,GO:0005737,Cytosol
AT1A3_RAT,Atp1a3,P06687,24.6147,0.0579,0.1275,1.1037,,GO:0005794,Golgi
SFXN3_RAT,Sfxn3,Q9JHY2,25.1960,0.0583,0.1275,1.2977,,GO:0016021,Mitochondrion
GRP78_RAT,Hspa5,P06761,25.7109,0.0584,0.1275,1.1255,,GO:0009986,Mitochondrion
AT2B2_RAT,Atp2b2,P11506,20.1844,0.0587,0.1275,1.2544,,GO:0005783,endoplasmic reticulum
PLD3_RAT,Pld3,Q5FVH2,25.1330,0.0588,0.1275,1.4157,,GO:0005794,Golgi
ANK3_RAT,Ank3,O70511,23.7957,0.0591,0.1275,1.1141,,GO:0005764,Lysosome
PHLB1_RAT,Phldb1,Q63312,21.0500,0.0591,0.1275,1.3111,,GO:0005829,Cytosol
D4A8N1_RAT,Dpm1,D4A8N1,21.5805,0.0594,0.1275,1.1072,,GO:0005783,endoplasmic reticulum
RS4X_RAT,Rps4x,P62703,25.1831,0.0595,0.1275,1.2260,,GO:0005737,Cytosol
LRC59_RAT,Lrrc59,Q5RJR8,24.8017,0.0596,0.1275,1.0609,,GO:0005783,Mitochondrion
SC6A9_RAT,Slc6a9,P28572,21.6514,0.0598,0.1275,1.1997,,GO:0005768,Endosome
LRFN1_RAT,Lrfn1,P0C7J6,23.9978,0.0599,0.1275,1.2224,,GO:0009986,Axon
SIDT2_RAT,Sidt2,D3ZEH5,20.5095,0.0601,0.1276,1.1388,,GO:0005764,Lysosome
D3ZFQ8_RAT,Cyc1,D3ZFQ8,24.7717,0.0604,0.1279,1.2097,,GO:0000307,Mitochondrion
GP158_RAT,Gpr158,D4A6L0,21.9103,0.0606,0.1279,1.0434,,GO:0016020,membrane
D3ZH14_RAT,Tmcc1,D3ZH14,20.7266,0.0608,0.1281,1.1063,,GO:0005783,endoplasmic reticulum
A0A0G2K719_RAT,Ddx3x,A0A0G2K719,23.4172,0.0614,0.1289,1.0448,,GO:0030154,Mitochondrion
ECSIT_RAT,Ecsit,Q5XIC2,20.1447,0.0615,0.1289,1.0565,,GO:0005737,Mitochondrion
D3ZWP6_RAT,Plxna2,D3ZWP6,24.4851,0.0622,0.1301,1.0744,,GO:0016020,Axon
FLRT3_RAT,Flrt3,B1H234,21.5546,0.0636,0.1324,1.0738,,GO:0005783,endoplasmic reticulum
G3V6N7_RAT,Slc12a6,G3V6N7,19.7009,0.0636,0.1324,1.0831,,NA,NA
RL23A_RAT,Rpl23a,P62752,20.9713,0.0641,0.1328,1.1789,,GO:0005737,Cytosol
D4A3N4_RAT,Adcy1,D4A3N4,20.0288,0.0642,0.1328,1.2097,,GO:0005737,Cytosol
FADS2_RAT,Fads2,Q9Z122,20.1800,0.0645,0.1328,1.1447,,GO:0005794,Golgi
AGRL3_RAT,Adgrl3,Q9Z173,25.2626,0.0646,0.1328,1.0983,,NA,NA
B2RYC9_RAT,Gba,B2RYC9,23.9979,0.0650,0.1328,1.2226,,GO:0005794,Golgi
DPYL3_RAT,Dpysl3,Q62952,21.6761,0.0651,0.1328,1.2461,,GO:0005737,Cytosol
D3ZDX5_RAT,Plxnb1,D3ZDX5,22.3204,0.0651,0.1328,1.0798,,GO:0016020,membrane
F1LUC0_RAT,Sybu,F1LUC0,22.7833,0.0652,0.1328,1.0179,,GO:0030424,Mitochondrion
PMGT2_RAT,Pomgnt2,Q5NDF0,23.0558,0.0655,0.1330,1.1146,,GO:0005783,endoplasmic reticulum
B1WC18_RAT,Podxl2,B1WC18,21.2882,0.0657,0.1330,1.1027,,GO:0016020,membrane
D3ZB81_RAT,Slc25a31,D3ZB81,22.6642,0.0658,0.1330,1.0225,,NA,NA
A0A0G2K5L2_RAT,LOC100911440,A0A0G2K5L2,24.7676,0.0669,0.1344,1.0948,,NA,NA
B4F7C2_RAT,Tubb4a,B4F7C2,23.1275,0.0670,0.1344,1.1736,,GO:0005856,cytoskeleton
KAPCA_RAT,Prkaca,P27791,20.8341,0.0671,0.1344,1.4285,,GO:0001669,Mitochondrion
NCAN_RAT,Ncan,P55067,22.7348,0.0673,0.1344,1.0337,,GO:0045202,synapse
DCTN1_RAT,Dctn1,P28023,20.4469,0.0674,0.1344,1.0483,,GO:0005856,cytoskeleton
HOME1_RAT,Homer1,Q9Z214,22.5631,0.0681,0.1353,1.0861,,GO:0005737,Cytosol
GRM3_RAT,Grm3,P31422,22.8727,0.0682,0.1353,1.2189,,NA,NA
TBA1A_RAT,Tuba1a,P68370,22.5871,0.0689,0.1364,1.3537,,GO:0055037,Endosome
GRIK2_RAT,Grik2,P42260,20.5060,0.0695,0.1373,1.1565,,GO:0005783,endoplasmic reticulum
F1M4B6_RAT,RGD1563349,F1M4B6,21.0998,0.0697,0.1373,1.1349,,GO:0016020,membrane
NEGR1_RAT,Negr1,Q9Z0J8,22.0007,0.0700,0.1376,1.2475,,GO:0030425,Axon
TMM33_RAT,Tmem33,Q9Z142,21.1823,0.0707,0.1386,1.0739,,GO:0005783,endoplasmic reticulum
D4A5F1_RAT,Pkd2,D4A5F1,20.0869,0.0712,0.1392,1.0225,,GO:0005794,Golgi
M0R5P8_RAT,Adam22,M0R5P8,23.7086,0.0715,0.1393,1.1782,,GO:0099061,Axon
ATPG_RAT,Atp5f1c,P35435,26.3827,0.0719,0.1393,1.0922,,GO:0016020,Mitochondrion
LGI1_RAT,Lgi1,Q8K4Y5,24.3726,0.0720,0.1393,1.0182,,NA,NA
SV2A_RAT,Sv2a,Q02563,22.0309,0.0721,0.1393,0.9999,,GO:0005783,endoplasmic reticulum
NFASC_RAT,Nfasc,P97685,24.8150,0.0721,0.1393,1.1177,,NA,NA
R4RL2_RAT,Rtn4rl2,Q80WD1,22.6765,0.0733,0.1412,1.1472,,NA,NA
MAP1S_RAT,Map1s,P0C5W1,24.6330,0.0745,0.1432,0.9914,,GO:0005856,cytoskeleton
G3V7N0_RAT,Hs2st1,G3V7N0,21.7073,0.0748,0.1433,1.1126,,GO:0005794,Golgi
D3ZEH1_RAT,Fat4,D3ZEH1,24.8217,0.0753,0.1440,1.0452,,GO:0072137,Axon
PRC2A_RAT,Prrc2a,Q6MG48,22.9758,0.0759,0.1444,1.0032,,GO:0005737,Cytosol
M0R557_RAT,Cmya5,M0R557,20.4681,0.0762,0.1444,1.0390,,GO:0005737,Cytosol
A0A0G2K8S6_RAT,LOC103692171,A0A0G2K8S6,25.1983,0.0762,0.1444,1.0846,,NA,NA
D4A6G2_RAT,Sema4g,D4A6G2,20.9988,0.0762,0.1444,1.0645,,NA,NA
A0A0G2JUG7_RAT,Iqsec1,A0A0G2JUG7,23.5465,0.0765,0.1445,1.0068,,GO:0005737,Cytosol
OGT1_RAT,Ogt,P56558,20.4815,0.0767,0.1445,1.0492,,GO:0042995,Mitochondrion
K2C73_RAT,Krt73,Q6IG03,20.5081,0.0770,0.1447,1.1806,,NA,NA
Q62797_RAT,Ptpro,Q62797,21.6788,0.0772,0.1448,0.9926,,NA,NA
GBRG2_RAT,Gabrg2,P18508,23.8481,0.0774,0.1449,1.0210,,GO:0005737,Cytosol
F1LXD6_RAT,Pitpnm2,F1LXD6,20.3409,0.0779,0.1452,1.0843,,GO:0005856,cytoskeleton
NCAM1_RAT,Ncam1,P13596,20.9468,0.0781,0.1452,1.1240,,GO:0005829,Cytosol
A0A0G2JY73_RAT,Eif4g3,A0A0G2JY73,20.5502,0.0782,0.1452,1.2175,,NA,NA
ITM2C_RAT,Itm2c,Q5PQL7,21.9282,0.0784,0.1453,0.9651,,GO:0005794,Golgi
K1C15_RAT,Krt15,Q6IFV3,21.2603,0.0786,0.1453,-1.7551,,GO:0005856,cytoskeleton
A0A140TAA1_RAT,Igsf8,A0A140TAA1,24.5425,0.0793,0.1459,1.2263,,GO:0030424,Axon
NEUA_RAT,Cmas,P69060,22.1713,0.0793,0.1459,1.0031,,GO:0005634,Nucleus
GFAP_RAT,Gfap,P47819,27.1037,0.0795,0.1459,0.9699,,GO:0005856,cytoskeleton
KDIS_RAT,Kidins220,Q9EQG6,21.2971,0.0801,0.1465,1.0298,,GO:0005770,Endosome
GBRA5_RAT,Gabra5,P19969,22.9112,0.0803,0.1465,1.1653,,GO:0005829,Cytosol
OX2G_RAT,Cd200,P04218,27.5961,0.0805,0.1465,1.1911,,NA,NA
F1M949_RAT,Ckap5,F1M949,23.2240,0.0805,0.1465,0.9886,,GO:0005856,cytoskeleton
A0A0G2JZA7_RAT,Cemip2,A0A0G2JZA7,21.6861,0.0810,0.1471,0.9908,,GO:0005829,Cytosol
ANPRC_RAT,Npr3,P41740,22.4655,0.0814,0.1474,0.9789,,GO:0005764,Lysosome
4F2_RAT,Slc3a2,Q794F9,21.5217,0.0818,0.1478,0.9538,,GO:0005764,Lysosome
FAT3_RAT,Fat3,Q8R508,22.0312,0.0821,0.1479,0.9956,,GO:0016020,membrane
F1M3T8_RAT,Atrnl1,F1M3T8,21.2844,0.0827,0.1480,0.9504,,GO:0005886,Axon
Q8CJE3_RAT,Myo7a,Q8CJE3,21.6063,0.0827,0.1480,1.1746,,GO:0005856,cytoskeleton
Q8R490_RAT,Cdh13,Q8R490,25.3233,0.0828,0.1480,0.9750,,GO:0005737,Cytosol
Q505J7_RAT,Gal3st3,Q505J7,20.4715,0.0828,0.1480,0.9819,,GO:0005794,Golgi
D4ACK1_RAT,Nup214,D4ACK1,21.0932,0.0837,0.1492,0.9419,,GO:0006406,Nucleus
AMZ2_RAT,Amz2,Q400C7,20.6323,0.0840,0.1492,0.9414,,NA,NA
F1LUZ4_RAT,Sorcs1,F1LUZ4,20.3089,0.0843,0.1492,0.9501,,GO:0005794,Golgi
NMDZ1_RAT,Grin1,P35439,24.3741,0.0843,0.1492,1.1172,,GO:0005783,endoplasmic reticulum
CSPG4_RAT,Cspg4,Q00657,21.9155,0.0845,0.1492,0.9560,,GO:0005654,Nucleus
BRNP2_RAT,Brinp2,Q8K1M8,21.3674,0.0851,0.1500,1.0087,,GO:0005783,endoplasmic reticulum
Q566E4_RAT,Hnrnpr,Q566E4,20.3850,0.0855,0.1501,0.9980,,GO:0005737,Cytosol
GBB2_RAT,Gnb2,P54313,20.9429,0.0857,0.1501,0.9592,,GO:0005737,Cytosol
PFKAM_RAT,Pfkm,P47858,20.9384,0.0858,0.1501,1.1351,,GO:0005737,Cytosol
Q6P762_RAT,Man2b1,Q6P762,24.1110,0.0859,0.1501,0.9606,,GO:0005764,Lysosome
EAA2_RAT,Slc1a2,P31596,23.8116,0.0866,0.1509,1.0083,,GO:0098978,Axon
PURA_RAT,Pura,P86252,20.3144,0.0871,0.1511,0.9854,,GO:0005737,Cytosol
A0A0G2JUT7_RAT,B3glct,A0A0G2JUT7,20.6130,0.0871,0.1511,0.9801,,GO:0005783,endoplasmic reticulum
Q5RJN0_RAT,Ndufs7,Q5RJN0,20.2711,0.0877,0.1518,1.1483,,GO:0009060,Mitochondrion
B2RYB1_RAT,Txndc11,B2RYB1,20.6235,0.0880,0.1518,1.1174,,GO:0005783,endoplasmic reticulum
D3Z981_RAT,Plxna1,D3Z981,27.2388,0.0881,0.1518,0.9932,,GO:0005829,Cytosol
NLGN2_RAT,Nlgn2,Q62888,22.9940,0.0882,0.1518,1.0056,,GO:0005737,Cytosol
AT1A2_RAT,Atp1a2,P06686,24.4869,0.0900,0.1544,1.2003,,GO:0005768,Endosome
RS6_RAT,Rps6,P62755,22.5746,0.0903,0.1547,1.0473,,GO:0005783,endoplasmic reticulum
F1M3H3_RAT,Fras1,F1M3H3,21.4000,0.0910,0.1551,1.1797,,GO:0030326,Axon
NMDE2_RAT,Grin2b,Q00960,22.0300,0.0911,0.1551,1.0141,,GO:0005764,Lysosome
TPP1_RAT,Tpp1,Q9EQV6,23.4928,0.0911,0.1551,1.3093,,GO:0005794,Golgi
CBPD_RAT,Cpd,Q9JHW1,24.9425,0.0917,0.1556,1.2219,,GO:0048471,Cytosol
NRX1A_RAT,Nrxn1,Q63372,25.2698,0.0918,0.1556,0.9601,,GO:0005783,endoplasmic reticulum
K1C10_RAT,Krt10,Q6IFW6,24.6067,0.0940,0.1585,1.5177,,GO:0005856,cytoskeleton
A0A0G2K9D7_RAT,Pcdhgc3,A0A0G2K9D7,22.4069,0.0942,0.1585,1.0279,,GO:0005887,Axon
GGH_RAT,Ggh,Q62867,22.2688,0.0943,0.1585,1.6501,,GO:0005764,Lysosome
ADT1_RAT,Slc25a4,Q05962,29.6927,0.0944,0.1585,0.9291,,GO:1990845,Mitochondrion
D3ZXQ2_RAT,Camsap3,D3ZXQ2,23.3003,0.0946,0.1585,1.1400,,GO:0005856,cytoskeleton
A0A0G2K3H2_RAT,Dock7,A0A0G2K3H2,19.5487,0.0952,0.1592,0.9493,,NA,NA
NTRK2_RAT,Ntrk2,Q63604,22.1931,0.0956,0.1595,1.0560,,GO:0005769,Endosome
D3ZN95_RAT,Hcfc1,D3ZN95,23.8096,0.0961,0.1597,0.9063,,GO:0005737,Cytosol
RS3_RAT,Rps3,P62909,26.2482,0.0961,0.1597,1.0580,,GO:0007049,Mitochondrion
GRM2_RAT,Grm2,P31421,21.4297,0.0969,0.1604,0.9124,,GO:0007165,Axon
NELL2_RAT,Nell2,Q62918,22.2668,0.0970,0.1604,0.9039,,GO:0005737,Cytosol
LRC8A_RAT,Lrrc8a,Q4V8I7,23.8199,0.0977,0.1613,1.0219,,GO:0005764,Lysosome
S2551_RAT,Slc25a51,Q52KK3,20.7864,0.0983,0.1613,0.8933,,GO:0016021,Mitochondrion
F1M5G8_RAT,Tmem131,F1M5G8,21.3322,0.0984,0.1613,0.9726,,GO:0016020,membrane
EAA1_RAT,Slc1a3,P24942,30.3849,0.0985,0.1613,0.9039,,GO:0016021,Axon
TM206_RAT,Pacc1,Q66H28,22.0904,0.0986,0.1613,0.9387,,GO:0016020,membrane
D4A3H5_RAT,Clcn6,D4A3H5,22.2665,0.0988,0.1613,0.9798,,GO:0005768,Endosome
D4ADU2_RAT,Slc7a11,D4ADU2,20.7332,0.0991,0.1613,1.2950,,GO:0005856,cytoskeleton
F1M1E4_RAT,Pnkd,F1M1E4,20.9762,0.0991,0.1613,0.9470,,GO:0005737,Mitochondrion
M0R715_RAT,Pnpla6,M0R715,20.8557,0.0995,0.1613,1.0445,,GO:0005783,endoplasmic reticulum
F1M2E9_RAT,LOC100361259,F1M2E9,21.0361,0.0996,0.1613,0.9959,,NA,NA
CATB_RAT,Ctsb,P00787,21.4789,0.1003,0.1621,1.0422,,GO:0005764,Lysosome
HNRPK_RAT,Hnrnpk,P61980,20.1767,0.1012,0.1634,1.0164,,GO:0043679,Mitochondrion
EPHA5_RAT,Epha5,P54757,22.8962,0.1024,0.1649,0.8994,,GO:0048471,Cytosol
PLPR3_RAT,Plppr3,Q7TMB0,20.9120,0.1033,0.1657,0.8846,,GO:0016020,membrane
TRIM2_RAT,Trim2,D3ZQG6,24.4956,0.1033,0.1657,1.0982,,GO:0005737,Cytosol
D3ZN27_RAT,Dnajc13,D3ZN27,22.9627,0.1037,0.1657,0.9537,,GO:0005829,Cytosol
DPP6_RAT,Dpp6,P46101,25.2477,0.1037,0.1657,0.9249,,GO:0008076,Axon
G3V928_RAT,Lrp1,G3V928,28.0738,0.1044,0.1665,1.2029,,GO:0005794,Golgi
D4A435_RAT,Icam5,D4A435,26.0418,0.1048,0.1665,0.9155,,GO:0016020,membrane
A0A0G2JZ52_RAT,Hnrnpu,A0A0G2JZ52,26.4658,0.1051,0.1665,0.8962,,GO:0005856,cytoskeleton
GBRA3_RAT,Gabra3,P20236,21.7639,0.1052,0.1665,0.9168,,GO:0007268,Axon
D3ZUJ8_RAT,Tmtc3,D3ZUJ8,21.8985,0.1053,0.1665,0.9388,,GO:0005783,endoplasmic reticulum
INSR_RAT,Insr,P15127,21.2758,0.1058,0.1670,0.9429,,GO:0005764,Lysosome
TIP_RAT,Itfg1,Q8R4E1,25.9726,0.1070,0.1685,0.9124,,GO:0016020,membrane
A5I9F0_RAT,Ptprk,A5I9F0,20.8187,0.1072,0.1685,0.8689,,NA,NA
GNAZ_RAT,Gnaz,P19627,19.3688,0.1082,0.1693,1.0745,,GO:0005829,Cytosol
