Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
263,296,tr|F1M6P8|F1M6P8_RAT,3.58,9,4,4,,2.54E7,1.29E7,1.00:0.51,2.54E7,1.29E7,1.00:0.51,53777,Protein Edil3 OS=Rattus norvegicus GN=Edil3 PE=4 SV=3
442,887,tr|A0A1B0GWM3|A0A1B0GWM3_RAT,3.58,1,1,1,,8.23E6,2.53E6,1.00:0.31,8.23E6,2.53E6,1.00:0.31,230895,Protein Lama3 (Fragment) OS=Rattus norvegicus GN=Lama3 PE=4 SV=1
5,3,Q9R1K2|TEN2_RAT,3.55,25,57,50,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 4 more,1.91E8,1.05E8,1.00:0.55,1.91E8,1.05E8,1.00:0.55,307473,Teneurin-2 OS=Rattus norvegicus GN=Tenm2 PE=1 SV=2
140,97,Q62786|FPRP_RAT,3.55,12,9,9,Carbamidomethylation; Formylation,6.12E7,2.92E7,1.00:0.48,6.12E7,2.92E7,1.00:0.48,98731,Prostaglandin F2 receptor negative regulator OS=Rattus norvegicus GN=Ptgfrn PE=1 SV=1
107,107,tr|A0A096MIX2|A0A096MIX2_RAT,3.53,19,13,5,Carbamidomethylation; Oxidation (M),2.05E7,1.03E7,1.00:0.50,2.05E7,1.03E7,1.00:0.50,72645,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17  isoform CRA_a OS=Rattus norvegicus GN=Ddx17 PE=1 SV=1
333,459,D4A6L0|GP158_RAT,3.52,3,2,2,,1.01E7,4.42E6,1.00:0.44,1.01E7,4.42E6,1.00:0.44,134458,Probable G-protein coupled receptor 158 OS=Rattus norvegicus GN=Gpr158 PE=1 SV=1
222,312,tr|D4A6H8|D4A6H8_RAT,3.49,11,5,4,Oxidation (M),3.45E7,1.75E7,1.00:0.51,3.45E7,1.75E7,1.00:0.51,52789,Protein Ctnna2 OS=Rattus norvegicus GN=Ctnna2 PE=1 SV=3
65,49,P07153|RPN1_RAT,3.43,27,14,14,Carbamidomethylation; Pyro-glu from Q; Formylation; Sodium adduct,1.29E8,2.61E8,1.00:2.02,1.29E8,2.61E8,1.00:2.02,68304,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Rattus norvegicus GN=Rpn1 PE=2 SV=1
30,41,D3ZPX4|PLXA3_RAT,3.43,13,23,15,Carbamidomethylation; Carbamylation; Formylation; Hexose (NSY); Oxidation (M); 3 more,3.61E7,1.9E7,1.00:0.53,3.61E7,1.9E7,1.00:0.53,207981,Plexin-A3 OS=Rattus norvegicus GN=Plxna3 PE=3 SV=1
110,110,O08678|MARK1_RAT,3.42,17,12,2,Carbamidomethylation; Oxidation (M); Phosphorylation (STY); Pyro-glu from Q,8.14E6,4.04E6,1.00:0.50,8.14E6,4.04E6,1.00:0.50,88235,Serine/threonine-protein kinase MARK1 OS=Rattus norvegicus GN=Mark1 PE=1 SV=1
1,9,tr|G3V928|G3V928_RAT,3.40,26,108,108,Carbamidomethylation; Carbamylation; Deamidation (NQ); Dehydration; Formylation; 7 more,2.84E8,1.71E8,1.00:0.60,2.84E8,1.71E8,1.00:0.60,504892,Protein Lrp1 OS=Rattus norvegicus GN=Lrp1 PE=1 SV=1
235,207,Q8VH46|AFAP1_RAT,3.40,6,4,4,Acetylation (Protein N-term); Oxidation (M),1.89E7,1.02E7,1.00:0.54,1.89E7,1.02E7,1.00:0.54,80752,Actin filament-associated protein 1 OS=Rattus norvegicus GN=Afap1 PE=1 SV=1
328,364,tr|Q6AY21|Q6AY21_RAT,3.37,8,3,3,Acetylation (Protein N-term); Oxidation (M),2.69E7,1.41E7,1.00:0.53,2.69E7,1.41E7,1.00:0.53,50770,GTPase activating protein (SH3 domain) binding protein 2 OS=Rattus norvegicus GN=G3bp2 PE=1 SV=1
347,408,Q5PQL7|ITM2C_RAT,3.36,12,2,2,,7.5E6,3.34E6,1.00:0.45,7.5E6,3.34E6,1.00:0.45,30480,Integral membrane protein 2C OS=Rattus norvegicus GN=Itm2c PE=1 SV=1
105,92,P0C5W1|MAP1S_RAT,3.35,13,10,10,Carbamidomethylation; Formylation,7.47E7,4.26E7,1.00:0.57,7.47E7,4.26E7,1.00:0.57,102806,Microtubule-associated protein 1S OS=Rattus norvegicus GN=Map1s PE=1 SV=1
131,88,Q64604|PTPRF_RAT,3.34,6,10,3,Carbamidomethylation; Oxidation (M),7.96E6,4.08E6,1.00:0.51,7.96E6,4.08E6,1.00:0.51,211492,Receptor-type tyrosine-protein phosphatase F OS=Rattus norvegicus GN=Ptprf PE=2 SV=1
167,130,Q8K4Y5|LGI1_RAT,3.33,14,7,7,Formylation,5.56E7,3.11E7,1.00:0.56,5.56E7,3.11E7,1.00:0.56,63728,Leucine-rich glioma-inactivated protein 1 OS=Rattus norvegicus GN=Lgi1 PE=1 SV=1
7,8,tr|D3ZES7|D3ZES7_RAT,3.32,30,53,40,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 3 more,1.7E8,1.06E8,1.00:0.62,1.7E8,1.06E8,1.00:0.62,212610,Protein Plxna4 OS=Rattus norvegicus GN=Plxna4 PE=4 SV=1
176,227,P97686|NRCAM_RAT,3.28,5,5,5,Carbamidomethylation,2.08E7,1.09E7,1.00:0.53,2.08E7,1.09E7,1.00:0.53,133911,Neuronal cell adhesion molecule OS=Rattus norvegicus GN=Nrcam PE=1 SV=2
47,38,tr|Q63116|Q63116_RAT,3.27,18,16,16,Carbamidomethylation; Formylation; Oxidation (M); Pyro-glu from Q,7.04E7,3.9E7,1.00:0.55,7.04E7,3.9E7,1.00:0.55,109342,Tyrosine-protein kinase receptor OS=Rattus norvegicus GN=Kit PE=1 SV=1
278,335,P97629|LCAP_RAT,3.27,2,2,2,,8.28E6,3.75E6,1.00:0.45,8.28E6,3.75E6,1.00:0.45,117201,Leucyl-cystinyl aminopeptidase OS=Rattus norvegicus GN=Lnpep PE=1 SV=1
19,13,O88778|BSN_RAT,3.25,14,39,37,Carbamidomethylation; Dimethylation(KR); Oxidation (M); Pyro-glu from Q; Deamidation (NQ),8.91E7,4.88E7,1.00:0.55,8.91E7,4.88E7,1.00:0.55,418429,Protein bassoon OS=Rattus norvegicus GN=Bsn PE=1 SV=3
194,158,tr|D3ZTL0|D3ZTL0_RAT,3.25,6,7,7,Carbamidomethylation; Oxidation (M),2.34E7,1.31E7,1.00:0.56,2.34E7,1.31E7,1.00:0.56,121851,Protein Tcerg1 OS=Rattus norvegicus GN=Tcerg1 PE=1 SV=1
499,556,tr|D4ADS4|D4ADS4_RAT,3.20,9,1,1,,1.06E7,3.63E6,1.00:0.34,1.06E7,3.63E6,1.00:0.34,16733,Protein Mgst3 OS=Rattus norvegicus GN=Mgst3 PE=1 SV=1
102,90,tr|A0A0G2K782|A0A0G2K782_RAT,3.18,34,11,11,Carbamidomethylation; Deamidation (NQ); Formylation; Methylation(KR); Phosphorylation (STY),1.18E8,6.81E7,1.00:0.58,1.18E8,6.81E7,1.00:0.58,35219,Protein Zc2hc1a OS=Rattus norvegicus GN=Zc2hc1a PE=1 SV=1
295,357,Q5M9G3|CAPR1_RAT,3.18,3,2,2,,7.17E6,3.37E6,1.00:0.47,7.17E6,3.37E6,1.00:0.47,78121,Caprin-1 OS=Rattus norvegicus GN=Caprin1 PE=1 SV=2
248,240,tr|B2RYD7|B2RYD7_RAT,3.17,6,5,5,,3.01E7,1.61E7,1.00:0.54,3.01E7,1.61E7,1.00:0.54,93436,Protein Stt3b OS=Rattus norvegicus GN=Stt3b PE=1 SV=1
180,255,Q5MPA9|DCLK2_RAT,3.16,3,2,1,Carbamidomethylation; Acetylation (N-term); Methylation(others),1.1E8,5.49E7,1.00:0.50,1.1E8,5.49E7,1.00:0.50,84016,Serine/threonine-protein kinase DCLK2 OS=Rattus norvegicus GN=Dclk2 PE=1 SV=2
205,191,Q62950|DPYL1_RAT,3.15,7,4,3,Pyro-glu from Q,1.44E7,7.77E6,1.00:0.54,1.44E7,7.77E6,1.00:0.54,62196,Dihydropyrimidinase-related protein 1 OS=Rattus norvegicus GN=Crmp1 PE=1 SV=1
50,19,Q99JD4|CLAP2_RAT,3.14,23,24,20,Carbamidomethylation; Oxidation (M); Pyro-glu from Q; Formylation,6.59E7,3.6E7,1.00:0.55,6.59E7,3.6E7,1.00:0.55,140637,CLIP-associating protein 2 OS=Rattus norvegicus GN=Clasp2 PE=1 SV=1
317,320,tr|D4A644|D4A644_RAT,3.14,5,3,3,,9.22E6,4.88E6,1.00:0.53,9.22E6,4.88E6,1.00:0.53,90419,Protein Map7d1 OS=Rattus norvegicus GN=Map7d1 PE=1 SV=1
21,37,Q09073|ADT2_RAT,3.12,58,25,11,Carbamidomethylation; Acetylation (Protein N-term); Carbamylation; Deamidation (NQ); Formylation; 7 more,2.67E8,1.59E8,1.00:0.60,2.67E8,1.59E8,1.00:0.60,32901,ADP/ATP translocase 2 OS=Rattus norvegicus GN=Slc25a5 PE=1 SV=3
170,168,Q9JHY2|SFXN3_RAT,3.09,29,7,6,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,7.55E7,4.41E7,1.00:0.58,7.55E7,4.41E7,1.00:0.58,35433,Sideroflexin-3 OS=Rattus norvegicus GN=Sfxn3 PE=2 SV=1
71,101,O08875|DCLK1_RAT,3.08,32,10,9,Carbamidomethylation; Formylation; Oxidation (M); Phosphorylation (STY),1.08E8,5.9E7,1.00:0.54,1.08E8,5.9E7,1.00:0.54,47681,Serine/threonine-protein kinase DCLK1 OS=Rattus norvegicus GN=Dclk1 PE=1 SV=1
143,112,O88871|GABR2_RAT,3.07,9,8,8,Carbamidomethylation; Oxidation (M),5.69E7,3.23E7,1.00:0.57,5.69E7,3.23E7,1.00:0.57,105751,Gamma-aminobutyric acid type B receptor subunit 2 OS=Rattus norvegicus GN=Gabbr2 PE=1 SV=2
290,282,P29147|BDH_RAT,3.06,14,4,4,Carbamidomethylation; Oxidation (M),2.69E7,1.47E7,1.00:0.55,2.69E7,1.47E7,1.00:0.55,38202,D-beta-hydroxybutyrate dehydrogenase  mitochondrial OS=Rattus norvegicus GN=Bdh1 PE=1 SV=2
40,17,tr|M0RB22|M0RB22_RAT,3.05,17,26,16,Carbamidomethylation; Formylation; Oxidation (M),4.16E7,2.32E7,1.00:0.56,4.16E7,2.32E7,1.00:0.56,217189,Protein Ptprd OS=Rattus norvegicus GN=Ptprd PE=1 SV=2
101,117,tr|A0A0G2JUI5|A0A0G2JUI5_RAT,3.05,8,10,6,Carbamidomethylation; Oxidation (M),2.74E7,1.54E7,1.00:0.56,2.74E7,1.54E7,1.00:0.56,170930,Protein Clasp1 OS=Rattus norvegicus GN=Clasp1 PE=1 SV=1
247,237,tr|F1M4J1|F1M4J1_RAT,3.05,5,5,5,,1.31E7,7.23E6,1.00:0.55,1.31E7,7.23E6,1.00:0.55,115525,Protein LOC100294508 OS=Rattus norvegicus GN=LOC100294508 PE=1 SV=2
16,36,Q05962|ADT1_RAT,3.05,62,26,12,Carbamidomethylation; Acetylation (Protein N-term); Carbamylation; Deamidation (NQ); Formylation; 6 more,1.03E9,6.79E8,1.00:0.66,1.03E9,6.79E8,1.00:0.66,32989,ADP/ATP translocase 1 OS=Rattus norvegicus GN=Slc25a4 PE=1 SV=3
164,147,P15205|MAP1B_RAT,3.04,4,6,5,Acetylation (N-term); Oxidation (M),2.57E7,1.44E7,1.00:0.56,2.57E7,1.44E7,1.00:0.56,269497,Microtubule-associated protein 1B OS=Rattus norvegicus GN=Map1b PE=1 SV=2
38,24,P47819|GFAP_RAT,3.03,47,21,18,Carbamidomethylation; Deamidation (NQ); Formylation; Oxidation (M); Pyro-glu from Q; Formylation (Protein N-term),1.09E8,6.39E7,1.00:0.59,1.09E8,6.39E7,1.00:0.59,49957,Glial fibrillary acidic protein OS=Rattus norvegicus GN=Gfap PE=1 SV=2
260,262,P62986|RL40_RAT,3.01,27,3,3,Formylation; Formylation (Protein N-term),8.97E7,5.42E7,1.00:0.60,8.97E7,5.42E7,1.00:0.60,14728,Ubiquitin-60S ribosomal protein L40 OS=Rattus norvegicus GN=Uba52 PE=1 SV=2
9,1,Q63617|HYOU1_RAT,3.00,40,37,36,Carbamidomethylation; Carbamylation; Deamidation (NQ); Formylation; Oxidation (M); 4 more,3.67E8,2.31E8,1.00:0.63,3.67E8,2.31E8,1.00:0.63,111289,Hypoxia up-regulated protein 1 OS=Rattus norvegicus GN=Hyou1 PE=1 SV=1
23,27,Q05695|L1CAM_RAT,3.00,24,28,28,Carbamidomethylation; Deamidation (NQ); Formylation; Oxidation (M); Pyro-glu from E,2.87E8,1.82E8,1.00:0.63,2.87E8,1.82E8,1.00:0.63,140934,Neural cell adhesion molecule L1 OS=Rattus norvegicus GN=L1cam PE=1 SV=3
533,7286,tr|F1MA42|F1MA42_RAT,2.99,1,1,1,,8.94E6,3.25E6,1.00:0.36,8.94E6,3.25E6,1.00:0.36,107502,Protein Sez6 OS=Rattus norvegicus GN=Sez6 PE=1 SV=2
154,138,Q7TMB7|PLPR4_RAT,2.97,13,9,9,Carbamidomethylation; Oxidation (M); Pyro-glu from Q,3.43E7,1.97E7,1.00:0.57,3.43E7,1.97E7,1.00:0.57,83361,Phospholipid phosphatase-related protein type 4 OS=Rattus norvegicus GN=Plppr4 PE=1 SV=1
481,871,P09951|SYN1_RAT,2.97,1,1,1,,4.45E6,1.61E6,1.00:0.36,4.45E6,1.61E6,1.00:0.36,73988,Synapsin-1 OS=Rattus norvegicus GN=Syn1 PE=1 SV=3
113,115,Q9WU82|CTNB1_RAT,2.96,15,10,10,Carbamidomethylation; Oxidation (M); Formylation,4.21E7,2.37E7,1.00:0.56,4.21E7,2.37E7,1.00:0.56,85455,Catenin beta-1 OS=Rattus norvegicus GN=Ctnnb1 PE=1 SV=1
233,276,tr|F1M3P6|F1M3P6_RAT,2.95,7,4,4,Acetylation (N-term),1.99E7,1.15E7,1.00:0.58,1.99E7,1.15E7,1.00:0.58,70289,Protein Scai OS=Rattus norvegicus GN=Scai PE=1 SV=2
103,124,Q07310|NRX3A_RAT,2.95,7,11,6,Carbamidomethylation; Deamidation (NQ); Oxidation (M),2.57E7,1.45E7,1.00:0.56,2.57E7,1.45E7,1.00:0.56,173993,Neurexin-3 OS=Rattus norvegicus GN=Nrxn3 PE=1 SV=1
139,136,P97527|CNTN5_RAT,2.95,10,8,8,Deamidation (NQ),2.73E7,1.57E7,1.00:0.58,2.73E7,1.57E7,1.00:0.58,120603,Contactin-5 OS=Rattus norvegicus GN=Cntn5 PE=1 SV=1
314,324,Q9ESQ7|PSD1_RAT,2.94,6,2,2,,6.51E6,2.96E6,1.00:0.45,6.51E6,2.96E6,1.00:0.45,70818,PH and SEC7 domain-containing protein 1 OS=Rattus norvegicus GN=Psd PE=1 SV=1
26,28,Q9QXY2|SRCN1_RAT,2.92,33,30,30,Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY); Pyro-glu from Q; Formylation; Dihydroxy,7.51E7,4.33E7,1.00:0.58,7.51E7,4.33E7,1.00:0.58,129744,SRC kinase signaling inhibitor 1 OS=Rattus norvegicus GN=Srcin1 PE=1 SV=1
343,316,tr|Q498C9|Q498C9_RAT,2.92,8,3,3,,2.01E7,1.13E7,1.00:0.56,2.01E7,1.13E7,1.00:0.56,49778,Protein Zfp207 OS=Rattus norvegicus GN=Zfp207 PE=1 SV=1
526,882,tr|M0R3M8|M0R3M8_RAT,2.91,1,1,1,,1.4E7,3.73E7,1.00:2.67,1.4E7,3.73E7,1.00:2.67,143131,Protein Rrp12 OS=Rattus norvegicus GN=Rrp12 PE=1 SV=1
520,843,tr|D3ZM22|D3ZM22_RAT,2.90,3,1,1,,2E7,5.33E7,1.00:2.66,2E7,5.33E7,1.00:2.66,55034,Protein Slc41a1 OS=Rattus norvegicus GN=Slc41a1 PE=1 SV=2
336,487,Q7TQ16|QCR8_RAT,2.90,10,1,1,,1.56E7,5.83E6,1.00:0.37,1.56E7,5.83E6,1.00:0.37,9849,Cytochrome b-c1 complex subunit 8 OS=Rattus norvegicus GN=Uqcrq PE=3 SV=1
86,56,O88917|AGRL1_RAT,2.88,12,12,12,Carbamidomethylation; Formylation,4.08E7,2.34E7,1.00:0.57,4.08E7,2.34E7,1.00:0.57,166614,Adhesion G protein-coupled receptor L1 OS=Rattus norvegicus GN=Adgrl1 PE=1 SV=1
480,865,tr|D3Z8C5|D3Z8C5_RAT,2.84,1,1,1,,1.39E7,3.66E7,1.00:2.62,1.39E7,3.66E7,1.00:2.62,202973,Protein Brwd3 OS=Rattus norvegicus GN=Brwd3 PE=1 SV=3
161,321,tr|D3ZN95|D3ZN95_RAT,2.81,3,5,5,Oxidation (M),2.1E7,1.2E7,1.00:0.57,2.1E7,1.2E7,1.00:0.57,209151,Protein Hcfc1 OS=Rattus norvegicus GN=Hcfc1 PE=1 SV=1
188,163,P49134|ITB1_RAT,2.81,6,4,4,,3.42E7,1.99E7,1.00:0.58,3.42E7,1.99E7,1.00:0.58,88495,Integrin beta-1 OS=Rattus norvegicus GN=Itgb1 PE=2 SV=1
70,70,P62909|RS3_RAT,2.80,61,14,14,Carbamidomethylation; Carbamylation; Formylation; Oxidation (M); Formylation (Protein N-term),1.43E8,9.24E7,1.00:0.65,1.43E8,9.24E7,1.00:0.65,26674,40S ribosomal protein S3 OS=Rattus norvegicus GN=Rps3 PE=1 SV=1
315,421,Q9JIH7|WNK1_RAT,2.79,2,3,3,Carbamidomethylation; Ammonia-loss (N),1.34E7,7.59E6,1.00:0.57,1.34E7,7.59E6,1.00:0.57,225110,Serine/threonine-protein kinase WNK1 OS=Rattus norvegicus GN=Wnk1 PE=1 SV=2
482,877,tr|D3ZGS5|D3ZGS5_RAT,2.78,1,1,1,,1.17E7,3.05E7,1.00:2.61,1.17E7,3.05E7,1.00:2.61,160866,Protein Uaca OS=Rattus norvegicus GN=Uaca PE=1 SV=2
54,12,tr|D3ZT47|D3ZT47_RAT,2.75,31,19,19,Formylation; Oxidation (M),1.28E8,8.16E7,1.00:0.64,1.28E8,8.16E7,1.00:0.64,87420,Protein Fam171a2 OS=Rattus norvegicus GN=Fam171a2 PE=1 SV=2
128,85,tr|G3V6K6|G3V6K6_RAT,2.72,9,9,9,Carbamidomethylation,4.09E7,2.54E7,1.00:0.62,4.09E7,2.54E7,1.00:0.62,134896,Receptor protein-tyrosine kinase OS=Rattus norvegicus GN=Egfr PE=1 SV=1
181,175,tr|M0R4G0|M0R4G0_RAT,2.70,13,6,6,Carbamidomethylation,2.46E7,4.27E7,1.00:1.73,2.46E7,4.27E7,1.00:1.73,79878,Protein Islr2 OS=Rattus norvegicus GN=Islr2 PE=4 SV=2
529,897,Q5TKR9|KAT6A_RAT,2.67,0,1,1,,8.67E7,2.15E8,1.00:2.48,8.67E7,2.15E8,1.00:2.48,223328,Histone acetyltransferase KAT6A OS=Rattus norvegicus GN=Kat6a PE=1 SV=2
99,66,B2DD29|BRSK1_RAT,2.66,19,11,11,Methylation(KR); Formylation; Oxidation (M),5.57E7,3.3E7,1.00:0.59,5.57E7,3.3E7,1.00:0.59,85183,Serine/threonine-protein kinase BRSK1 OS=Rattus norvegicus GN=Brsk1 PE=1 SV=1
424,682,tr|A0A0G2JZA7|A0A0G2JZA7_RAT,2.61,1,1,1,,4.7E6,1.88E6,1.00:0.40,4.7E6,1.88E6,1.00:0.40,153953,Protein Tmem2 OS=Rattus norvegicus GN=Tmem2 PE=1 SV=1
500,558,D3ZAF6|ATPK_RAT,2.61,14,1,1,,1.11E7,4.5E6,1.00:0.40,1.11E7,4.5E6,1.00:0.40,10452,ATP synthase subunit f  mitochondrial OS=Rattus norvegicus GN=Atp5j2 PE=1 SV=1
166,270,P97829|CD47_RAT,2.60,17,6,6,Carbamylation; Oxidation (M); Formylation,1.44E8,9.22E7,1.00:0.64,1.44E8,9.22E7,1.00:0.64,32995,Leukocyte surface antigen CD47 OS=Rattus norvegicus GN=Cd47 PE=1 SV=1
37,51,tr|D4A435|D4A435_RAT,2.60,26,21,21,Carbamidomethylation; Carbamylation; Oxidation (M); Pyro-glu from Q; Formylation,1.14E8,7.14E7,1.00:0.63,1.14E8,7.14E7,1.00:0.63,96905,Protein Icam5 OS=Rattus norvegicus GN=Icam5 PE=4 SV=1
138,109,Q03348|PTPRA_RAT,2.58,10,7,7,Carbamidomethylation; Oxidation (M),4.85E7,3.01E7,1.00:0.62,4.85E7,3.01E7,1.00:0.62,90261,Receptor-type tyrosine-protein phosphatase alpha OS=Rattus norvegicus GN=Ptpra PE=1 SV=1
162,186,tr|D3ZXQ2|D3ZXQ2_RAT,2.57,6,6,6,Acetylation (Protein N-term),3.34E7,2.05E7,1.00:0.61,3.34E7,2.05E7,1.00:0.61,136738,Protein Camsap3 OS=Rattus norvegicus GN=Camsap3 PE=1 SV=2
496,539,Q9EPH8|PABP1_RAT,2.57,2,1,1,,3.9E6,1.58E6,1.00:0.41,3.9E6,1.58E6,1.00:0.41,70701,Polyadenylate-binding protein 1 OS=Rattus norvegicus GN=Pabpc1 PE=1 SV=1
77,71,P0CC10|LRC4B_RAT,2.54,19,12,10,Formylation; Phosphorylation (STY); Carbamidomethylation; Carbamylation; Methylation(KR); Oxidation (M),1.08E8,6.89E7,1.00:0.64,1.08E8,6.89E7,1.00:0.64,76119,Leucine-rich repeat-containing protein 4B OS=Rattus norvegicus GN=Lrrc4b PE=1 SV=1
56,52,P63018|HSP7C_RAT,2.54,33,18,16,Carbamidomethylation; Deamidation (NQ); Formylation; Methylation(KR); Oxidation (M); Phosphorylation (STY),1.16E8,7.21E7,1.00:0.62,1.16E8,7.21E7,1.00:0.62,70871,Heat shock cognate 71 kDa protein OS=Rattus norvegicus GN=Hspa8 PE=1 SV=1
66,121,P14562|LAMP1_RAT,2.53,23,10,10,Carbamidomethylation; Deamidation (NQ); Formylation; Ubiquitin; Ammonia-loss (N),3.21E8,2.09E8,1.00:0.65,3.21E8,2.09E8,1.00:0.65,43969,Lysosome-associated membrane glycoprotein 1 OS=Rattus norvegicus GN=Lamp1 PE=1 SV=1
75,42,tr|D3ZPN0|D3ZPN0_RAT,2.52,17,15,15,Oxidation (M); Formylation; Pyro-glu from Q,5.13E7,3.2E7,1.00:0.62,5.13E7,3.2E7,1.00:0.62,132113,Protein Pcdh17 OS=Rattus norvegicus GN=Pcdh17 PE=4 SV=2
39,11,P06761|GRP78_RAT,2.52,43,23,21,Deamidation (NQ); Oxidation (M); Formylation,9.14E7,5.95E7,1.00:0.65,9.14E7,5.95E7,1.00:0.65,72347,78 kDa glucose-regulated protein OS=Rattus norvegicus GN=Hspa5 PE=1 SV=1
492,7357,Q6AYA1|GAR1_RAT,2.52,6,1,1,,8.71E6,2.1E7,1.00:2.41,8.71E6,2.1E7,1.00:2.41,23011,H/ACA ribonucleoprotein complex subunit 1 OS=Rattus norvegicus GN=Gar1 PE=2 SV=1
380,387,tr|D4A3L3|D4A3L3_RAT,2.52,4,2,2,,1.85E7,9.85E6,1.00:0.53,1.85E7,9.85E6,1.00:0.53,62887,EGF-like-domain  multiple 5 (Predicted) OS=Rattus norvegicus GN=Megf9 PE=4 SV=1
136,125,tr|A0A140TAA1|A0A140TAA1_RAT,2.52,15,7,7,Formylation; Oxidation (M),8.96E7,5.65E7,1.00:0.63,8.96E7,5.65E7,1.00:0.63,65067,Immunoglobulin superfamily  member 8  isoform CRA_b OS=Rattus norvegicus GN=Igsf8 PE=1 SV=1
236,228,tr|D4A0A1|D4A0A1_RAT,2.51,3,3,3,,1.84E7,1.05E7,1.00:0.57,1.84E7,1.05E7,1.00:0.57,103026,Protein Soga3 OS=Rattus norvegicus GN=Soga3 PE=1 SV=1
395,767,P61765|STXB1_RAT,2.51,3,1,1,,4.77E6,1.97E6,1.00:0.41,4.77E6,1.97E6,1.00:0.41,67569,Syntaxin-binding protein 1 OS=Rattus norvegicus GN=Stxbp1 PE=1 SV=1
216,151,Q5RJR8|LRC59_RAT,2.50,20,5,5,Carbamidomethylation,3.57E7,2.19E7,1.00:0.61,3.57E7,2.19E7,1.00:0.61,34869,Leucine-rich repeat-containing protein 59 OS=Rattus norvegicus GN=Lrrc59 PE=1 SV=1
145,152,tr|D3ZYR4|D3ZYR4_RAT,2.50,9,8,8,Carbamidomethylation; Formylation; Pyro-glu from Q,4.4E7,2.77E7,1.00:0.63,4.4E7,2.77E7,1.00:0.63,95584,Protein Sema4d OS=Rattus norvegicus GN=Sema4d PE=1 SV=3
169,156,tr|A0A0G2K5L2|A0A0G2K5L2_RAT,2.49,17,5,5,Carbamidomethylation,3.46E7,2.18E7,1.00:0.63,3.46E7,2.18E7,1.00:0.63,34662,Protein LOC100911440 OS=Rattus norvegicus GN=LOC100911440 PE=1 SV=1
163,204,tr|A0A0G2K719|A0A0G2K719_RAT,2.48,8,6,5,Oxidation (M),3.25E7,1.99E7,1.00:0.61,3.25E7,1.99E7,1.00:0.61,73146,Protein Ddx3x OS=Rattus norvegicus GN=Ddx3x PE=1 SV=1
277,310,A1L1I3|NUMBL_RAT,2.48,3,2,2,,8.25E6,4.36E6,1.00:0.53,8.25E6,4.36E6,1.00:0.53,65513,Numb-like protein OS=Rattus norvegicus GN=Numbl PE=1 SV=1
234,202,tr|G3V667|G3V667_RAT,2.46,5,4,4,,1.7E7,1.06E7,1.00:0.62,1.7E7,1.06E7,1.00:0.62,119479,Integrin  alpha 6  isoform CRA_a OS=Rattus norvegicus GN=Itga6 PE=1 SV=1
291,283,tr|F7EL93|F7EL93_RAT,2.46,3,3,3,Pyro-glu from Q,1.62E7,9.9E6,1.00:0.61,1.62E7,9.9E6,1.00:0.61,133360,Protein Igdcc4 OS=Rattus norvegicus GN=Igdcc4 PE=4 SV=2
282,371,tr|D4AE02|D4AE02_RAT,2.46,5,2,2,,5.88E6,3.13E6,1.00:0.53,5.88E6,3.13E6,1.00:0.53,46415,Protein Fam98b OS=Rattus norvegicus GN=Fam98b PE=1 SV=3
88,72,tr|B5DFC3|B5DFC3_RAT,2.44,19,10,9,Carbamidomethylation; Oxidation (M),5.23E7,2.83E7,1.00:0.54,5.23E7,2.83E7,1.00:0.54,86162,Protein Sec23a OS=Rattus norvegicus GN=Sec23a PE=1 SV=1
484,900,P58751|RELN_RAT,2.43,0,1,1,,6.35E6,2.68E6,1.00:0.42,6.35E6,2.68E6,1.00:0.42,387532,Reelin OS=Rattus norvegicus GN=Reln PE=2 SV=1
382,398,tr|D3ZFQ8|D3ZFQ8_RAT,2.43,6,2,2,,1.89E7,1.04E7,1.00:0.55,1.89E7,1.04E7,1.00:0.55,35435,Cytochrome c-1 (Predicted)  isoform CRA_c OS=Rattus norvegicus GN=Cyc1 PE=1 SV=3
352,608,tr|D3ZE26|D3ZE26_RAT,2.39,5,3,3,,1.55E7,9.52E6,1.00:0.61,1.55E7,9.52E6,1.00:0.61,77143,Protein Tmcc2 OS=Rattus norvegicus GN=Tmcc2 PE=1 SV=1
82,116,O70277|TRIM3_RAT,2.38,21,13,11,Carbamidomethylation; Deamidation (NQ); Pyro-glu from Q; Formylation; Oxidation (M),1.46E8,1.01E8,1.00:0.69,1.46E8,1.01E8,1.00:0.69,80796,Tripartite motif-containing protein 3 OS=Rattus norvegicus GN=Trim3 PE=1 SV=1
266,405,tr|B0BN30|B0BN30_RAT,2.37,7,3,3,Oxidation (M),1.51E7,9.18E6,1.00:0.61,1.51E7,9.18E6,1.00:0.61,41592,Mtch1 protein OS=Rattus norvegicus GN=Mtch1 PE=1 SV=1
