Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 2 Area,Sample 4 Area,Sample Profile (Ratio),A HCD Area,B HCD Area,Group Profile (Ratio),Avg. Mass,Description
1019,14128,tr|F1LWZ8|F1LWZ8_RAT,2.35,2,1,1,,5.22E5,0,2.00:0,5.22E5,0,2.00:0,99497,Protein Lemd3 OS=Rattus norvegicus GN=Lemd3 PE=1 SV=2
1153,21429,tr|D4A853|D4A853_RAT,2.35,2,1,1,,5.03E5,0,2.00:0,5.03E5,0,2.00:0,163782,Protein Cic OS=Rattus norvegicus GN=Cic PE=1 SV=2
1443,23428,tr|D3ZC82|D3ZC82_RAT,2.35,2,1,1,,4.44E5,0,2.00:0,4.44E5,0,2.00:0,75661,Protein Nufip2 OS=Rattus norvegicus GN=Nufip2 PE=1 SV=2
616,22492,tr|A0A0G2K6R8|A0A0G2K6R8_RAT,2.35,1,1,1,,6.43E5,0,2.00:0,6.43E5,0,2.00:0,182515,Protein Ehbp1l1 OS=Rattus norvegicus GN=Ehbp1l1 PE=1 SV=1
1279,22444,B3GNI6|SEP11_RAT,2.35,2,1,1,,4.01E5,0,2.00:0,4.01E5,0,2.00:0,49695,Septin-11 OS=Rattus norvegicus GN=Sept11 PE=1 SV=1
1298,22628,Q00939|FOXG1_RAT,2.35,2,1,1,,3.76E5,0,2.00:0,3.76E5,0,2.00:0,51466,Forkhead box protein G1 OS=Rattus norvegicus GN=Foxg1 PE=2 SV=1
1275,21708,P38062|MAP2_RAT,2.35,3,1,1,Carbamidomethylation,4.31E5,0,2.00:0,4.31E5,0,2.00:0,53052,Methionine aminopeptidase 2 OS=Rattus norvegicus GN=Metap2 PE=1 SV=2
644,664,Q5XI81|FXR1_RAT,2.35,4,2,1,,3.24E5,0,2.00:0,3.24E5,0,2.00:0,63948,Fragile X mental retardation syndrome-related protein 1 OS=Rattus norvegicus GN=Fxr1 PE=1 SV=1
1310,42298,Q5RJQ7|SDHF2_RAT,2.35,5,1,1,,0,3.79E5,0:2.00,0,3.79E5,0:2.00,19524,Succinate dehydrogenase assembly factor 2  mitochondrial OS=Rattus norvegicus GN=Sdhaf2 PE=2 SV=1
1129,21379,D4A7P2|LRRT2_RAT,2.35,2,1,1,,3.73E5,0,2.00:0,3.73E5,0,2.00:0,58804,Leucine-rich repeat transmembrane neuronal protein 2 OS=Rattus norvegicus GN=Lrrtm2 PE=1 SV=1
1450,24400,A6N6J5|WDR35_RAT,2.35,1,1,1,,2.87E5,0,2.00:0,2.87E5,0,2.00:0,132779,WD repeat-containing protein 35 OS=Rattus norvegicus GN=Wdr35 PE=1 SV=1
1408,4626,Q62769|UN13B_RAT,2.35,0,1,1,,0,3.03E5,0:2.00,0,3.03E5,0:2.00,184062,Protein unc-13 homolog B OS=Rattus norvegicus GN=Unc13b PE=1 SV=2
1093,21591,G3V909|ATF6A_RAT,2.35,1,1,1,,2.8E5,0,2.00:0,2.8E5,0,2.00:0,72666,Cyclic AMP-dependent transcription factor ATF-6 alpha OS=Rattus norvegicus GN=Atf6 PE=2 SV=1
1210,22011,tr|F1MAB7|F1MAB7_RAT,2.35,1,1,1,,2.85E5,0,2.00:0,2.85E5,0,2.00:0,115894,Diacylglycerol kinase OS=Rattus norvegicus GN=Dgki PE=1 SV=1
870,807,tr|D3ZMG0|D3ZMG0_RAT,2.35,2,2,1,,2.28E5,0,2.00:0,2.28E5,0,2.00:0,112437,Protein Ulk1 OS=Rattus norvegicus GN=Ulk1 PE=1 SV=2
228,411,D3Z8E6|CAMP1_RAT,2.35,1,1,1,,2.12E5,0,2.00:0,2.12E5,0,2.00:0,178524,Calmodulin-regulated spectrin-associated protein 1 OS=Rattus norvegicus GN=Camsap1 PE=1 SV=2
1389,24151,Q5FWT8|RCOR2_RAT,2.35,2,1,1,,4.08E5,0,2.00:0,4.08E5,0,2.00:0,57981,REST corepressor 2 OS=Rattus norvegicus GN=Rcor2 PE=1 SV=1
1367,11514,tr|D4A1Z8|D4A1Z8_RAT,2.35,1,1,1,,2.87E5,0,2.00:0,2.87E5,0,2.00:0,117332,Protein Radil OS=Rattus norvegicus GN=Radil PE=1 SV=2
970,2476,tr|A0A0G2K929|A0A0G2K929_RAT,2.35,1,2,1,,2.99E5,0,2.00:0,2.99E5,0,2.00:0,320733,Protein Cep290 OS=Rattus norvegicus GN=Cep290 PE=4 SV=1
807,5342,tr|F1LZX5|F1LZX5_RAT,2.35,0,1,1,Carbamidomethylation,1.93E5,0,2.00:0,1.93E5,0,2.00:0,452509,Protein Hectd4 OS=Rattus norvegicus GN=Hectd4 PE=1 SV=3
1180,22163,tr|D3ZZA8|D3ZZA8_RAT,2.35,1,1,1,,2.07E5,0,2.00:0,2.07E5,0,2.00:0,118867,Protein Sec24a OS=Rattus norvegicus GN=Sec24a PE=1 SV=1
1215,24524,tr|M0RBQ8|M0RBQ8_RAT,2.35,3,2,1,,0,2.01E5,0:2.00,0,2.01E5,0:2.00,86385,Protein Dennd1c OS=Rattus norvegicus GN=Dennd1c PE=4 SV=2
1154,468,tr|D3ZLP2|D3ZLP2_RAT,2.35,1,1,1,,2.07E5,0,2.00:0,2.07E5,0,2.00:0,185140,Protein Rnf17 OS=Rattus norvegicus GN=Rnf17 PE=1 SV=1
1192,21533,Q10836|TRHDE_RAT,2.35,1,1,1,,2E5,0,2.00:0,2E5,0,2.00:0,117287,Thyrotropin-releasing hormone-degrading ectoenzyme OS=Rattus norvegicus GN=Trhde PE=1 SV=1
1247,2628,tr|A0A0G2K4K6|A0A0G2K4K6_RAT,2.35,1,1,1,,2.13E5,0,2.00:0,2.13E5,0,2.00:0,139113,Protein Edrf1 OS=Rattus norvegicus GN=Edrf1 PE=1 SV=1
977,2694,tr|D3ZUT0|D3ZUT0_RAT,2.35,1,1,1,Carbamidomethylation,2.09E5,0,2.00:0,2.09E5,0,2.00:0,195518,Protein Kif26a OS=Rattus norvegicus GN=Kif26a PE=3 SV=2
1094,21690,tr|B2RZD6|B2RZD6_RAT,2.34,35,3,3,,4.67E6,1.85E6,1.43:0.57,4.67E6,1.85E6,1.43:0.57,9327,Ndufa4 protein OS=Rattus norvegicus GN=Ndufa4 PE=1 SV=1
1140,2542,tr|F1LPD3|F1LPD3_RAT,2.34,0,1,1,,1.28E5,0,2.00:0,1.28E5,0,2.00:0,344941,Protein Cep350 OS=Rattus norvegicus GN=Cep350 PE=1 SV=3
1066,2661,Q5XIQ5|SDA1_RAT,2.34,1,1,1,,8.98E4,0,2.00:0,8.98E4,0,2.00:0,79633,Protein SDA1 homolog OS=Rattus norvegicus GN=Sdad1 PE=1 SV=1
1143,24342,tr|D3ZRK0|D3ZRK0_RAT,2.34,1,2,1,Carbamidomethylation,0,6.78E4,0:2.00,0,6.78E4,0:2.00,131163,Protein Fam83h OS=Rattus norvegicus GN=Fam83h PE=1 SV=1
1155,2062,tr|F1M5H6|F1M5H6_RAT,2.34,1,1,1,,0,9.5E4,0:2.00,0,9.5E4,0:2.00,125312,Protein Tp53bp2 OS=Rattus norvegicus GN=Tp53bp2 PE=1 SV=2
1368,12085,tr|F1M021|F1M021_RAT,2.34,1,2,1,,5.15E4,0,2.00:0,5.15E4,0,2.00:0,113368,Protein B4galnt3 OS=Rattus norvegicus GN=B4galnt3 PE=4 SV=2
1240,24411,tr|D3ZKT0|D3ZKT0_RAT,2.34,4,1,1,,0,5.06E4,0:2.00,0,5.06E4,0:2.00,37786,Phosphatidate cytidylyltransferase  mitochondrial OS=Rattus norvegicus GN=Tamm41 PE=1 SV=1
1183,993,Q62968|SCNAA_RAT,2.33,1,2,1,,2.21E7,2.88E6,1.77:0.23,2.21E7,2.88E6,1.77:0.23,219731,Sodium channel protein type 10 subunit alpha OS=Rattus norvegicus GN=Scn10a PE=1 SV=1
545,14136,tr|D4A507|D4A507_RAT,2.32,10,4,4,Carbamidomethylation,1.63E7,6.7E6,1.42:0.58,1.63E7,6.7E6,1.42:0.58,59587,Protein Clip3 OS=Rattus norvegicus GN=Clip3 PE=1 SV=1
880,21272,tr|D4A062|D4A062_RAT,2.32,4,3,2,,2.84E6,7.04E5,1.60:0.40,2.84E6,7.04E5,1.60:0.40,109236,Protein Slitrk3 OS=Rattus norvegicus GN=Slitrk3 PE=1 SV=1
447,270,Q9ESI7|DCX_RAT,2.30,17,6,6,Carbamidomethylation,6.81E7,3.28E7,1.35:0.65,6.81E7,3.28E7,1.35:0.65,40560,Neuronal migration protein doublecortin OS=Rattus norvegicus GN=Dcx PE=1 SV=2
551,5240,tr|F1M3H3|F1M3H3_RAT,2.29,0,2,1,Carbamidomethylation,5.32E7,7.12E6,1.76:0.24,5.32E7,7.12E6,1.76:0.24,425265,Protein Fras1 OS=Rattus norvegicus GN=Fras1 PE=4 SV=3
504,380,Q6URK4|ROA3_RAT,2.28,26,7,7,,3.07E7,1.23E7,1.43:0.57,3.07E7,1.23E7,1.43:0.57,39652,Heterogeneous nuclear ribonucleoprotein A3 OS=Rattus norvegicus GN=Hnrnpa3 PE=1 SV=1
510,209,P62268|RS23_RAT,2.28,24,3,3,,2.92E7,1.24E7,1.40:0.60,2.92E7,1.24E7,1.40:0.60,15808,40S ribosomal protein S23 OS=Rattus norvegicus GN=Rps23 PE=1 SV=3
546,20983,tr|D4A758|D4A758_RAT,2.27,8,6,5,Carbamidomethylation,1E7,3.27E6,1.51:0.49,1E7,3.27E6,1.51:0.49,92211,Protein Lrrc8b OS=Rattus norvegicus GN=Lrrc8b PE=1 SV=1
109,244,tr|A0A0G2JUG7|A0A0G2JUG7_RAT,2.27,28,21,18,Carbamidomethylation,4.26E7,1.86E7,1.39:0.61,4.26E7,1.86E7,1.39:0.61,108080,Protein Iqsec1 OS=Rattus norvegicus GN=Iqsec1 PE=1 SV=1
89,89,O70277|TRIM3_RAT,2.26,39,22,20,Carbamidomethylation,1.41E8,6.89E7,1.34:0.66,1.41E8,6.89E7,1.34:0.66,80796,Tripartite motif-containing protein 3 OS=Rattus norvegicus GN=Trim3 PE=1 SV=1
292,1528,tr|A0A0G2K847|A0A0G2K847_RAT,2.26,21,14,11,Carbamidomethylation,1.79E7,6.98E6,1.44:0.56,1.79E7,6.98E6,1.44:0.56,97485,Protein Agap1 OS=Rattus norvegicus GN=Agap1 PE=4 SV=1
83,32,P46101|DPP6_RAT,2.26,37,25,23,Carbamidomethylation,7.07E7,3.39E7,1.35:0.65,7.07E7,3.39E7,1.35:0.65,97302,Dipeptidyl aminopeptidase-like protein 6 OS=Rattus norvegicus GN=Dpp6 PE=1 SV=1
165,11777,Q641Y8|DDX1_RAT,2.25,26,15,15,Carbamidomethylation,4.45E7,1.8E7,1.42:0.58,4.45E7,1.8E7,1.42:0.58,82497,ATP-dependent RNA helicase DDX1 OS=Rattus norvegicus GN=Ddx1 PE=1 SV=1
282,20916,P54757|EPHA5_RAT,2.25,12,10,7,Carbamidomethylation,1.56E7,6.45E6,1.42:0.58,1.56E7,6.45E6,1.42:0.58,111007,Ephrin type-A receptor 5 OS=Rattus norvegicus GN=Epha5 PE=1 SV=1
275,21320,tr|D3ZZ44|D3ZZ44_RAT,2.25,3,1,1,,2.23E6,3.05E5,1.76:0.24,2.23E6,3.05E5,1.76:0.24,90871,Protein Elfn1 OS=Rattus norvegicus GN=Elfn1 PE=4 SV=1
433,1658,O88280|SLIT3_RAT,2.25,5,6,5,,9.13E6,3.86E6,1.41:0.59,9.13E6,3.86E6,1.41:0.59,167767,Slit homolog 3 protein OS=Rattus norvegicus GN=Slit3 PE=2 SV=1
431,41486,tr|F1M2E9|F1M2E9_RAT,2.25,20,4,4,,2E7,8.42E6,1.41:0.59,2E7,8.42E6,1.41:0.59,24069,60S ribosomal protein L13 OS=Rattus norvegicus GN=LOC100361259 PE=3 SV=3
507,20908,Q10743|ADA10_RAT,2.24,17,8,8,Carbamidomethylation,3.33E7,1.16E7,1.48:0.52,3.33E7,1.16E7,1.48:0.52,60445,Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1
1170,21266,O88588|PACS1_RAT,2.24,2,2,2,,2.86E6,7.46E5,1.59:0.41,2.86E6,7.46E5,1.59:0.41,104700,Phosphofurin acidic cluster sorting protein 1 OS=Rattus norvegicus GN=Pacs1 PE=1 SV=1
268,20883,tr|D3ZU85|D3ZU85_RAT,2.23,18,10,8,Carbamidomethylation,2.56E7,1.14E7,1.38:0.62,2.56E7,1.14E7,1.38:0.62,87705,Protein Frmd4a OS=Rattus norvegicus GN=Frmd4a PE=1 SV=3
315,20889,P41740|ANPRC_RAT,2.23,20,9,9,Carbamidomethylation,2.88E7,1.3E7,1.38:0.62,2.88E7,1.3E7,1.38:0.62,59728,Atrial natriuretic peptide receptor 3 OS=Rattus norvegicus GN=Npr3 PE=2 SV=1
561,21047,tr|F1LYJ8|F1LYJ8_RAT,2.23,8,4,4,,6.78E6,2.61E6,1.44:0.56,6.78E6,2.61E6,1.44:0.56,69556,Protein Gramd4 OS=Rattus norvegicus GN=Gramd4 PE=1 SV=2
307,234,tr|A0A0G2JY03|A0A0G2JY03_RAT,2.22,52,11,8,Carbamidomethylation,3.51E7,1.46E7,1.41:0.59,3.51E7,1.46E7,1.41:0.59,28253,Uncharacterized protein OS=Rattus norvegicus PE=1 SV=1
3,12,tr|D3Z981|D3Z981_RAT,2.20,56,100,76,Carbamidomethylation,3.47E8,1.89E8,1.29:0.71,3.47E8,1.89E8,1.29:0.71,213190,Protein Plxna1 OS=Rattus norvegicus GN=Plxna1 PE=4 SV=3
1122,41556,Q68G12|SIAT9_RAT,2.20,5,2,2,,8.13E5,3.98E6,0.34:1.66,8.13E5,3.98E6,0.34:1.66,44640,Lactosylceramide alpha-2 3-sialyltransferase OS=Rattus norvegicus GN=St3gal5 PE=2 SV=1
676,20959,Q02563|SV2A_RAT,2.19,5,3,3,,1.36E7,5.75E6,1.41:0.59,1.36E7,5.75E6,1.41:0.59,82661,Synaptic vesicle glycoprotein 2A OS=Rattus norvegicus GN=Sv2a PE=1 SV=2
117,63,Q9WU82|CTNB1_RAT,2.18,34,20,17,Carbamidomethylation,6.95E7,3.31E7,1.36:0.64,6.95E7,3.31E7,1.36:0.64,85455,Catenin beta-1 OS=Rattus norvegicus GN=Ctnnb1 PE=1 SV=1
1235,22424,tr|F1M798|F1M798_RAT,2.18,1,1,1,,2.28E6,3.27E5,1.75:0.25,2.28E6,3.27E5,1.75:0.25,111648,Metalloendopeptidase OS=Rattus norvegicus GN=Bmp1 PE=1 SV=2
138,73,tr|F1M8K0|F1M8K0_RAT,2.17,25,22,21,Carbamidomethylation,1.36E8,6.53E7,1.35:0.65,1.36E8,6.53E7,1.35:0.65,96706,Protein Dag1 OS=Rattus norvegicus GN=Dag1 PE=1 SV=1
899,11543,Q6AZ61|LMBD1_RAT,2.16,3,1,1,,5.49E7,2.41E7,1.39:0.61,5.49E7,2.41E7,1.39:0.61,61018,Probable lysosomal cobalamin transporter OS=Rattus norvegicus GN=Lmbrd1 PE=1 SV=1
232,11611,tr|G3V6U3|G3V6U3_RAT,2.16,29,10,10,Carbamidomethylation,5.63E7,2.12E7,1.45:0.55,5.63E7,2.12E7,1.45:0.55,47319,Asparagine-linked glycosylation 2 homolog (Yeast  alpha-1 3-mannosyltransferase)  isoform CRA_a OS=Rattus norvegicus GN=Alg2 PE=1 SV=1
572,1976,tr|G3V7V3|G3V7V3_RAT,2.16,14,7,5,Carbamidomethylation,1.25E7,5.47E6,1.39:0.61,1.25E7,5.47E6,1.39:0.61,72188,Protein Slc27a4 OS=Rattus norvegicus GN=Slc27a4 PE=1 SV=1
28,128,tr|D3ZW09|D3ZW09_RAT,2.13,29,30,29,Carbamidomethylation,4.33E7,2.08E7,1.35:0.65,4.33E7,2.08E7,1.35:0.65,128825,Protein Sorcs2 OS=Rattus norvegicus GN=Sorcs2 PE=1 SV=3
122,12480,Q00657|CSPG4_RAT,2.12,9,17,17,,1.75E7,7.57E6,1.40:0.60,1.75E7,7.57E6,1.40:0.60,251906,Chondroitin sulfate proteoglycan 4 OS=Rattus norvegicus GN=Cspg4 PE=1 SV=2
45,67,tr|F1LX07|F1LX07_RAT,2.12,51,26,22,Carbamidomethylation,1.31E8,6.09E7,1.37:0.63,1.31E8,6.09E7,1.37:0.63,71917,Protein Slc25a12 OS=Rattus norvegicus GN=Slc25a12 PE=1 SV=3
7,124,Q9JKS6|PCLO_RAT,2.12,23,81,77,Carbamidomethylation,1.03E8,4.53E7,1.39:0.61,1.03E8,4.53E7,1.39:0.61,552723,Protein piccolo OS=Rattus norvegicus GN=Pclo PE=1 SV=1
654,21091,tr|D4A5X7|D4A5X7_RAT,2.11,13,5,4,,1.98E7,7.11E6,1.47:0.53,1.98E7,7.11E6,1.47:0.53,41217,Ganglioside-induced differentiation-associated-protein 1 (Predicted) OS=Rattus norvegicus GN=Gdap1 PE=4 SV=1
1073,21133,tr|Q6P3V8|Q6P3V8_RAT,2.11,5,2,2,,3.72E6,1.04E6,1.56:0.44,3.72E6,1.04E6,1.56:0.44,46154,Eukaryotic translation initiation factor 4A1 OS=Rattus norvegicus GN=Eif4a1 PE=1 SV=1
458,11387,P62250|RS16_RAT,2.09,34,7,7,,7.71E7,3.58E7,1.37:0.63,7.71E7,3.58E7,1.37:0.63,16445,40S ribosomal protein S16 OS=Rattus norvegicus GN=Rps16 PE=1 SV=2
580,20953,O35112|CD166_RAT,2.09,15,7,7,Carbamidomethylation,1.35E7,6.24E6,1.37:0.63,1.35E7,6.24E6,1.37:0.63,65022,CD166 antigen OS=Rattus norvegicus GN=Alcam PE=1 SV=1
861,11392,Q91V33|KHDR1_RAT,2.09,7,3,2,,1.13E7,3.07E6,1.57:0.43,1.13E7,3.07E6,1.57:0.43,48315,KH domain-containing  RNA-binding  signal transduction-associated protein 1 OS=Rattus norvegicus GN=Khdrbs1 PE=1 SV=1
401,1871,P97633|KC1A_RAT,2.09,20,6,6,Carbamidomethylation,2.73E7,1.26E7,1.37:0.63,2.73E7,1.26E7,1.37:0.63,37495,Casein kinase I isoform alpha OS=Rattus norvegicus GN=Csnk1a1 PE=2 SV=1
1326,11460,Q9Z1N3|MYO9A_RAT,2.08,1,2,2,Carbamidomethylation,1.39E6,7.9E6,0.30:1.70,1.39E6,7.9E6,0.30:1.70,301381,Unconventional myosin-IXa OS=Rattus norvegicus GN=Myo9a PE=1 SV=1
245,1378,tr|Q5U2P5|Q5U2P5_RAT,2.07,22,9,9,Carbamidomethylation,3.73E7,1.74E7,1.36:0.64,3.73E7,1.74E7,1.36:0.64,76061,Protein C2cd2l OS=Rattus norvegicus GN=C2cd2l PE=1 SV=1
1209,21539,tr|D3ZEX7|D3ZEX7_RAT,2.06,3,1,1,,2.04E6,3.18E5,1.73:0.27,2.04E6,3.18E5,1.73:0.27,85248,Protein Spire1 OS=Rattus norvegicus GN=Spire1 PE=1 SV=1
1277,21968,tr|A0A0G2K358|A0A0G2K358_RAT,2.06,3,1,1,,6.81E6,1.08E6,1.73:0.27,6.81E6,1.08E6,1.73:0.27,42830,Protein Ctns OS=Rattus norvegicus GN=Ctns PE=4 SV=1
1329,3381,F1M3G7|AKP13_RAT,2.06,0,1,1,,5.67E5,3.61E6,0.27:1.73,5.67E5,3.61E6,0.27:1.73,301402,A-kinase anchor protein 13 OS=Rattus norvegicus GN=Akap13 PE=1 SV=2
1332,22706,tr|F1LPD7|F1LPD7_RAT,2.05,3,3,2,Carbamidomethylation,1.81E6,4.74E5,1.59:0.41,1.81E6,4.74E5,1.59:0.41,179300,Protein Thsd7b OS=Rattus norvegicus GN=Thsd7b PE=4 SV=2
1225,21432,Q9WTV0|PREB_RAT,2.04,4,1,1,,1.44E6,2.28E5,1.73:0.27,1.44E6,2.28E5,1.73:0.27,45357,Prolactin regulatory element-binding protein OS=Rattus norvegicus GN=Preb PE=1 SV=2
84,1995,Q810W7|MAST1_RAT,2.04,17,19,15,Carbamidomethylation,2.29E7,1.07E7,1.36:0.64,2.29E7,1.07E7,1.36:0.64,171027,Microtubule-associated serine/threonine-protein kinase 1 OS=Rattus norvegicus GN=Mast1 PE=1 SV=1
317,14306,P25235|RPN2_RAT,2.04,17,6,6,,3.65E7,1.71E7,1.36:0.64,3.65E7,1.71E7,1.36:0.64,69078,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Rattus norvegicus GN=Rpn2 PE=2 SV=2
76,26,Q05962|ADT1_RAT,2.02,64,25,9,Carbamidomethylation,1.85E9,1.09E9,1.26:0.74,1.85E9,1.09E9,1.26:0.74,32989,ADP/ATP translocase 1 OS=Rattus norvegicus GN=Slc25a4 PE=1 SV=3
69,138,tr|D3ZN95|D3ZN95_RAT,2.02,14,22,21,Carbamidomethylation,2.92E7,1.3E7,1.38:0.62,2.92E7,1.3E7,1.38:0.62,209151,Protein Hcfc1 OS=Rattus norvegicus GN=Hcfc1 PE=1 SV=1
802,4367,P19627|GNAZ_RAT,2.02,7,2,1,,1.27E6,2.06E5,1.72:0.28,1.27E6,2.06E5,1.72:0.28,40880,Guanine nucleotide-binding protein G(z) subunit alpha OS=Rattus norvegicus GN=Gnaz PE=2 SV=3
454,41494,tr|D4A833|D4A833_RAT,2.02,10,3,3,,1.37E7,6.23E6,1.37:0.63,1.37E7,6.23E6,1.37:0.63,50001,Mitochondrial ribosomal protein S30 (Predicted)  isoform CRA_a OS=Rattus norvegicus GN=Mrps30 PE=1 SV=1
722,332,Q3KR86|MIC60_RAT,2.02,8,4,4,,6.05E6,2.15E6,1.48:0.52,6.05E6,2.15E6,1.48:0.52,67177,MICOS complex subunit Mic60 (Fragment) OS=Rattus norvegicus GN=Immt PE=1 SV=1
745,21183,Q794F9|4F2_RAT,2.01,11,4,4,,7E6,3.06E6,1.39:0.61,7E6,3.06E6,1.39:0.61,58072,4F2 cell-surface antigen heavy chain OS=Rattus norvegicus GN=Slc3a2 PE=1 SV=1
538,21095,tr|D3ZYS7|D3ZYS7_RAT,2.01,3,1,1,,5.18E6,8.5E5,1.72:0.28,5.18E6,8.5E5,1.72:0.28,51787,Protein G3bp1 OS=Rattus norvegicus GN=G3bp1 PE=1 SV=1
99,86,tr|E9PT53|E9PT53_RAT,2.00,24,20,20,Carbamidomethylation,6.98E7,3.6E7,1.32:0.68,6.98E7,3.6E7,1.32:0.68,100563,Protein Wfs1 OS=Rattus norvegicus GN=Wfs1 PE=1 SV=2
87,111,tr|M0RC17|M0RC17_RAT,2.00,23,23,22,Carbamidomethylation,1.05E8,5.07E7,1.35:0.65,1.05E8,5.07E7,1.35:0.65,135610,Protein Chl1 OS=Rattus norvegicus GN=Chl1 PE=1 SV=2
1256,13026,Q63347|PRS7_RAT,1.99,3,1,1,,1.96E6,3.24E5,1.72:0.28,1.96E6,3.24E5,1.72:0.28,48575,26S protease regulatory subunit 7 OS=Rattus norvegicus GN=Psmc2 PE=1 SV=3
370,20930,tr|B0K026|B0K026_RAT,1.99,21,8,7,Carbamidomethylation,6.77E7,1.48E8,0.63:1.37,6.77E7,1.48E8,0.63:1.37,43121,Letmd1 protein OS=Rattus norvegicus GN=Letmd1 PE=1 SV=1
646,13841,D3ZEH5|SIDT2_RAT,1.99,3,3,3,Carbamidomethylation,3.9E6,1.71E6,1.39:0.61,3.9E6,1.71E6,1.39:0.61,94527,SID1 transmembrane family member 2 OS=Rattus norvegicus GN=Sidt2 PE=1 SV=2
912,22022,tr|A0A0G2JXE4|A0A0G2JXE4_RAT,1.98,3,2,1,Carbamidomethylation,1.64E4,9.95E4,0.28:1.72,1.64E4,9.95E4,0.28:1.72,119512,Protein Fam214a OS=Rattus norvegicus GN=Fam214a PE=4 SV=1
209,150,Q6PDV7|RL10_RAT,1.98,54,14,14,Carbamidomethylation,6.85E7,3.48E7,1.33:0.67,6.85E7,3.48E7,1.33:0.67,24604,60S ribosomal protein L10 OS=Rattus norvegicus GN=Rpl10 PE=1 SV=3
886,21049,tr|F1M3H8|F1M3H8_RAT,1.98,7,1,1,,6.22E6,1.04E6,1.71:0.29,6.22E6,1.04E6,1.71:0.29,30076,Protein LOC681410 OS=Rattus norvegicus GN=Hnrnpa0 PE=1 SV=3
902,21052,D3ZAF6|ATPK_RAT,1.98,24,2,2,,3.83E7,1.84E7,1.35:0.65,3.83E7,1.84E7,1.35:0.65,10452,ATP synthase subunit f  mitochondrial OS=Rattus norvegicus GN=Atp5j2 PE=1 SV=1
548,2051,tr|D3ZQM3|D3ZQM3_RAT,1.97,6,5,5,Carbamidomethylation,6.96E6,3.15E6,1.38:0.62,6.96E6,3.15E6,1.38:0.62,119125,Integrin alpha 3 variant B OS=Rattus norvegicus GN=Itga3 PE=2 SV=1
1150,389,tr|D4A4Z9|D4A4Z9_RAT,1.97,1,1,1,,1.08E6,1.81E5,1.71:0.29,1.08E6,1.81E5,1.71:0.29,151795,Protein Ktn1 OS=Rattus norvegicus GN=Ktn1 PE=1 SV=2
168,20874,B2DD29|BRSK1_RAT,1.96,22,11,11,Carbamidomethylation,4.67E7,2.32E7,1.34:0.66,4.67E7,2.32E7,1.34:0.66,85183,Serine/threonine-protein kinase BRSK1 OS=Rattus norvegicus GN=Brsk1 PE=1 SV=1
939,512,A9UMV8|H2AJ_RAT,1.96,27,3,3,,5.95E7,2.79E7,1.36:0.64,5.95E7,2.79E7,1.36:0.64,14045,Histone H2A.J OS=Rattus norvegicus GN=H2afj PE=2 SV=1
381,479,Q5RJR8|LRC59_RAT,1.95,27,6,6,Carbamidomethylation,7.54E7,3.68E7,1.34:0.66,7.54E7,3.68E7,1.34:0.66,34869,Leucine-rich repeat-containing protein 59 OS=Rattus norvegicus GN=Lrrc59 PE=1 SV=1
383,11801,B1H234|FLRT3_RAT,1.92,16,8,8,Carbamidomethylation,1.65E7,8.1E6,1.34:0.66,1.65E7,8.1E6,1.34:0.66,72911,Leucine-rich repeat transmembrane protein FLRT3 OS=Rattus norvegicus GN=Flrt3 PE=1 SV=1
70,175,P97685|NFASC_RAT,1.92,23,21,21,Carbamidomethylation,6.15E7,3.06E7,1.33:0.67,6.15E7,3.06E7,1.33:0.67,138004,Neurofascin OS=Rattus norvegicus GN=Nfasc PE=1 SV=2
1191,21377,Q66H28|TM206_RAT,1.92,11,3,3,Carbamidomethylation,1.73E7,7.74E6,1.38:0.62,1.73E7,7.74E6,1.38:0.62,40073,Transmembrane protein 206 OS=Rattus norvegicus GN=Tmem206 PE=1 SV=1
497,21001,P84903|STIM1_RAT,1.91,5,3,3,,1.31E7,5E6,1.45:0.55,1.31E7,5E6,1.45:0.55,77449,Stromal interaction molecule 1 OS=Rattus norvegicus GN=Stim1 PE=1 SV=1
853,14482,tr|F7F3I7|F7F3I7_RAT,1.90,7,4,4,,4.54E6,2.05E6,1.38:0.62,4.54E6,2.05E6,1.38:0.62,83519,Protein Sema4a OS=Rattus norvegicus GN=Sema4a PE=4 SV=1
27,113,P06687|AT1A3_RAT,1.90,37,31,17,Carbamidomethylation,8.64E7,4.52E7,1.31:0.69,8.64E7,4.52E7,1.31:0.69,111691,Sodium/potassium-transporting ATPase subunit alpha-3 OS=Rattus norvegicus GN=Atp1a3 PE=1 SV=2
296,2052,tr|A0A0U1RS25|A0A0U1RS25_RAT,1.90,13,12,11,Carbamidomethylation,5.8E6,2.56E6,1.39:0.61,5.8E6,2.56E6,1.39:0.61,123953,Protein Upf1 OS=Rattus norvegicus GN=Upf1 PE=1 SV=1
236,154,P52303|AP1B1_RAT,1.89,11,11,1,Carbamidomethylation,2.24E5,3.95E4,1.70:0.30,2.24E5,3.95E4,1.70:0.30,104589,AP-1 complex subunit beta-1 OS=Rattus norvegicus GN=Ap1b1 PE=1 SV=1
